Year,CSI,DIDSON,CSIx3,CSIx6.29
1948,45000,,135000,283050
1949,83500,,250500,525215
1950,222000,,666000,1396380
1951,164500,,493500,1034705
1952,305000,,915000,1918450
1953,280000,,840000,1761200
1954,91800,,275400,577422
1955,118000,,354000,742220
1956,116000,,348000,729640
1957,92900,,278700,584341
1958,136000,,408000,855440
1959,197000,,591000,1239130
1960,45900,,137700,288711
1961,64500,,193500,405705
1962,176000,,528000,1107040
1963,500000,,1500000,3145000
1964,268500,,805500,1688865
1965,41220,,123661,259276
1966,74000,,222000,465460
1967,145750,,437250,916768
1968,285000,,855000,1792650
1969,28250,,84750,177693
1970,28250,,84750,177693
1971,89800,,269400,564842
1972,62000,,186000,389980
1973,457500,,1372500,2877675
1974,161500,,484500,1015835
1975,136500,,409500,858585
1976,63500,,190500,399415
1977,62600,,187800,393754
1978,140000,,420000,880600
1979,65500,,196500,411995
1980,70500,,211500,443445
1981,148000,,444000,930920
1982,233000,,699000,1465570
1983,160500,,481500,1009545
1984,99700,,299100,627113
1985,217425,,652275,1367603
1986,185000,,555000,1163650
1987,153200,,459600,963628
1988,85500,,256500,537795
1989,42600,,127800,267954
1990,92500,,277500,581825
1991,86664,,259993,545119
1992,90500,,271500,569245
1993,67000,,201000,421430
1994,26000,,78000,163540
1995,36500,,109500,229585
1996,15205,,45615,95639
1997,83100,,249300,522699
1998,11960,,35880,75228
1999,1180,,3540,7422
2000,7040,,21120,44282
2001,10500,,31500,66045
2002,33300,,99900,209457
2003,46300,,138900,291227
2004,38750,,116250,243738
2005,49650,,148950,312299
2006,35900,,107700,225811
2007,32880,,98640,206815
2008,27656,,82968,173956
2009,26170,,78510,164609
2010,36421,,109263,229088
2011,136000,,408000,855440
2012,49900,,149700,313871
2013,64150,,192450,403504
2014,39670,300000,119010,249524
2015,48784,262400,146352,306851
2016,86638,482000,259914,544953
2017,23574,225400,70722,148280
2018,57867,217000,173601,363983
2019,8897,223170,26691,55962
