Year,catch_3,catch_4,catch_5,catch_6,catch_other,catch_n,esc_2,esc_3,esc_4,esc_5,esc_6,esc_7,esc_other,esc_n
1948,,0.55,0.45,,0.01,,,,,,,,,
1949,,0.84,0.15,,0,,,,,,,,,
1950,,0.13,0.87,,0.01,,,,,,,,,
1951,,0.38,0.61,,0,,,,,,,,,
1952,,0.41,0.59,,0,,,,,,,,,
1953,,0.73,0.27,,0,,,,,,,,,
1954,,0.6,0.4,,0,,,,,,,,,
1955,,0.45,0.55,,0,,,,,,,,,
1956,,0.1,0.9,,0,,,,,,,,,
1957,,0.65,0.35,,0,,,,,,,,,
1958,,0.28,0.71,,0.01,,,,,,,,,
1959,,0.19,0.79,,0.02,,,,,,,,,
1960,,0.38,0.57,,0.05,,,,0.43,0.57,,,0,
1961,,0.49,0.49,,0.02,,,,0.31,0.69,,,0,
1962,,0.9,0.09,,0.01,,,,0.53,0.47,,,0,
1963,,0.37,0.6,,0.03,,,,0.47,0.52,,,0.01,
1964,,0.13,0.79,,0.08,,,,0.12,0.86,,,0.02,
1965,,0.69,0.27,,0.04,,,,0.36,0.64,,,0,
1966,,0.34,0.65,,0.01,,,,0.42,0.58,,,0,
1967,,0.78,0.2,,0.02,,,,0.4,0.6,,,0,
1968,,0.07,0.9,,0.03,,,,,,,,,
1969,,0.35,0.61,,0.04,,,,,,,,,
1970,,0.4,0.49,,0.11,,,,0.4,0.5,,,0.1,
1971,,0.75,0.23,,0.02,,,,0.76,0.22,,,0.02,
1972,,0.48,0.45,,0.07,,,,0.81,0.14,,,0.05,
1973,,0.06,0.94,,0,,,,0.06,0.94,,,0,
1974,,0.19,0.78,,0.03,,,,0.19,0.78,,,0.03,
1975,,0.47,0.52,,0.01,,,,0.47,0.52,,,0.01,
1976,,0.47,0.51,,0.02,,,,,,,,,
1977,,0.44,0.54,,0.02,,,,,,,,,
1978,,0.04,0.94,,0.02,,,,0.03,0.95,,,0.02,
1979,,0.57,0.41,,0.02,,,,0.57,0.41,,,0.02,
1980,,0.17,0.83,,0,,,,0.17,0.83,,,0,
1981,,0.34,0.65,,0.01,,,,0.34,0.65,,,0.01,
1982,,0.12,0.85,,0.03,,,,,,,,,
1983,,0.19,0.8,,0.01,,,,0.19,0.8,,,0.01,
1984,,0.74,0.26,,0,,,,0.62,0.38,,,0,
1985,,0.38,0.62,,0,,,,0.21,0.79,,,0,
1986,,0.34,0.66,,0,,,,0.17,0.83,,,0,
1987,,0.42,0.58,,0,,,,0.09,0.87,,,0.04,
1988,,0.18,0.82,,0,,,,0.04,0.96,,,0,
1989,0.00,0.43,0.54,0.03,,364,0.00,0.07,0.37,0.55,0.01,0.00,,237
1990,0.01,0.11,0.86,0.03,,483,0.00,0.01,0.20,0.78,0.02,0.00,,466
1991,0.01,0.26,0.71,0.02,,486,0.05,0.05,0.23,0.65,0.02,0.00,,809
1992,0.01,0.09,0.90,0.01,,469,0.00,0.01,0.07,0.87,0.05,0.00,,343
1993,0.01,0.34,0.63,0.02,,133,0.01,0.01,0.15,0.82,0.02,0.00,,635
1994,0.01,0.34,0.62,0.03,,164,0.01,0.00,0.18,0.76,0.05,0.00,,97
1995,0.00,0.07,0.93,0.00,,94,0.00,0.00,0.05,0.95,0.00,0.00,,545
1996,,,,,,,0.00,0.01,0.38,0.58,0.02,0.00,,279
1997,,,,,,,0.00,0.00,0.14,0.84,0.02,0.00,,376
1998,,,,,,,0.00,0.01,0.04,0.94,0.00,0.00,,500
1999,,,,,,,0.00,0.09,0.43,0.46,0.02,0.00,,145
2000,,,,,,,0.00,0.00,0.64,0.35,0.00,0.00,,531
2001,,,,,,,0.00,0.01,0.38,0.60,0.00,0.00,,766
2002,,,,,,,0.00,0.01,0.32,0.67,0.01,0.00,,1038
2003,,,,,,,0.00,0.06,0.15,0.77,0.02,0.00,,694
2004,,,,,,,0.00,0.03,0.76,0.21,0.00,0.00,,571
2005,,,,,,,0.00,0.02,0.50,0.48,0.00,0.00,,647
2006,,,,,,,0.00,0.01,0.14,0.85,0.00,0.00,,534
2007,,,,,,,0.00,0.01,0.05,0.94,0.00,0.00,,526
2008,,,,,,,0.00,0.01,0.83,0.17,0.00,0.00,,574
2009,,,,,,,0.00,0.03,0.46,0.51,0.00,0.00,,521
2010,,,,,,,0.00,0.00,0.36,0.64,0.00,0.00,,241
2011,,,,,,,0.00,0.00,0.03,0.97,0.00,0.00,,291
2012,,,,,,,0.00,0.02,0.84,0.14,0.00,0.00,,603
2013,,,,,,,0.00,0.01,0.22,0.77,0.00,0.00,,534
2014,,,,,,,0.00,0.05,0.44,0.50,0.01,0.00,,478
2015,,,,,,,0.00,0.01,0.48,0.51,0.00,0.00,,478
2016,,,,,,,0.00,0.01,0.17,0.81,0.00,0.00,,618
2017,,,,,,,0.00,0.06,0.64,0.30,0.00,0.00,,430
2018,,,,,,,0.00,0.01,0.23,0.76,0.00,0.00,,468
2019,,,,,,,0.00,0.00,0.19,0.81,0.00,0.00,,32
